lang=en space=False A=26 ncand=867; target d1-6=[0,0.41,0.74,2.16,0.92,1.01], tail 9,13,17 high / 15,19,22 low; resync4=0.55
 joint  dev24  dev8  rs4 d4spr  mechanism                       d1-6 | d9,13,17 | d15,19,22
  49.2   47.2  14.7 0.33  0.06  RotMoveRel k=12 r=20 spaced3   [0.01, 0.06, 0.78, 1.7, 0.8, 0.63] | [1.25, 1.82, 1.35] | [1.07, 1.06, 1.02]
  53.6   48.6  11.6 0.19  0.15  RotMoveRel k=40 r=9 spaced3    [0.0, 0.76, 0.78, 1.15, 0.95, 0.95] | [1.22, 1.11, 0.98] | [1.01, 0.99, 1.1]
  54.5   49.4  11.6 0.19  0.21  RotMoveRel k=24 r=20 spaced3   [0.0, 0.18, 0.76, 1.13, 0.98, 0.94] | [0.97, 1.04, 1.01] | [0.98, 0.95, 0.94]
  55.5   52.0   9.8 0.26  0.14  RotMoveRel k=16 r=41 spaced3   [0.0, 0.21, 1.21, 1.68, 0.77, 0.89] | [0.89, 0.83, 0.9] | [0.87, 0.95, 0.85]
  56.7   51.1  12.2 0.17  0.24  RotMoveRel k=28 r=41 spaced3   [0.0, 0.46, 1.29, 1.18, 1.15, 0.91] | [0.96, 0.93, 0.96] | [0.82, 0.9, 0.97]
  57.8   53.6  15.1 0.23  0.29  RotMoveRel k=28 r=3 spaced3    [0.0, 0.62, 1.0, 1.0, 1.08, 1.09] | [1.59, 1.02, 0.91] | [0.9, 1.0, 1.08]
  63.7   59.3  15.9 0.22  0.16  RotMoveRel k=24 r=5 spaced3    [0.0, 0.16, 1.44, 1.24, 1.06, 0.82] | [0.82, 1.15, 0.95] | [0.94, 0.98, 0.94]
  65.1   60.2  15.8 0.20  0.51  RotMoveRel k=28 r=7 random     [0.39, 0.92, 1.03, 2.28, 0.95, 0.94] | [0.88, 0.93, 1.09] | [1.05, 0.95, 0.92]
  65.4   65.2  29.6 0.48  0.35  RotMoveRel k=4 r=5 random      [0.58, 0.94, 1.08, 1.2, 0.67, 0.85] | [1.02, 0.91, 1.23] | [0.82, 1.05, 0.91]
  66.2   63.4  18.2 0.29  0.09  RotMoveRel k=16 r=3 spaced3    [0.0, 0.68, 0.61, 1.33, 2.09, 1.31] | [1.21, 0.77, 1.0] | [1.09, 1.14, 1.03]
  68.6   64.5  15.0 0.23  0.14  RotMoveRel k=24 r=2 spaced3    [0.0, 0.19, 0.91, 1.01, 0.85, 1.08] | [0.95, 0.93, 1.05] | [1.0, 0.9, 1.0]
  69.2   65.8  21.1 0.26  0.97  RotMoveRel k=16 r=4 random     [0.44, 1.11, 0.9, 2.76, 0.95, 1.16] | [0.86, 0.84, 0.86] | [0.83, 0.96, 1.06]
  69.6   66.9  26.5 0.29  0.77  LetterDepth r=1 random         [0.41, 1.0, 1.06, 1.13, 0.82, 0.87] | [0.99, 1.13, 1.05] | [0.9, 1.09, 1.01]
  70.1   67.3  14.7 0.28  0.14  RotMoveRel k=16 r=9 spaced3    [0.0, 0.95, 1.22, 1.41, 1.34, 1.36] | [0.9, 0.86, 0.9] | [1.02, 0.86, 0.99]
  70.8   65.0  26.8 0.17  0.16  RotMoveRel k=40 r=41 spaced3   [0.0, 0.94, 1.12, 0.86, 1.42, 1.04] | [1.35, 1.25, 0.97] | [1.11, 1.07, 0.92]
  72.3   70.4  33.2 0.33  0.92  RotMoveRel k=8 r=7 random      [0.66, 1.03, 0.68, 1.09, 0.88, 0.74] | [0.83, 2.07, 0.92] | [0.91, 0.98, 0.95]
  72.7   67.8  21.9 0.20  0.15  RotMoveRel k=32 r=13 spaced3   [0.0, 1.1, 0.5, 1.01, 1.0, 1.07] | [1.31, 0.93, 0.86] | [1.28, 0.99, 0.98]
