lang=fi space=True A=29 ncand=867; target d1-6=[0,0.41,0.74,2.16,0.92,1.01], tail 9,13,17 high / 15,19,22 low; resync4=0.55
 joint  dev24  dev8  rs4 d4spr  mechanism                       d1-6 | d9,13,17 | d15,19,22
  60.2   57.0  19.4 0.27  0.86  LetterDepth r=4 random         [0.32, 1.04, 0.76, 1.32, 0.84, 0.96] | [1.08, 1.02, 1.26] | [1.18, 0.97, 0.98]
  61.0   58.4  19.4 0.29  0.25  RotMoveRel k=12 r=20 spaced3   [0.0, 0.04, 0.78, 1.4, 0.87, 0.71] | [1.09, 2.39, 1.14] | [1.16, 0.92, 0.92]
  62.2   57.1  11.3 0.19  0.59  RotMoveRel k=28 r=7 random     [0.36, 0.72, 0.85, 2.31, 0.91, 0.98] | [0.95, 0.92, 0.91] | [0.96, 0.91, 1.07]
  62.3   58.5  18.5 0.24  0.12  RotMoveRel k=24 r=82 spaced3   [0.0, 0.52, 1.22, 0.92, 0.97, 1.28] | [1.09, 0.87, 1.02] | [0.97, 1.07, 0.88]
  63.7   58.7   8.7 0.20  0.12  RotMoveRel k=28 r=41 spaced3   [0.0, 0.76, 1.07, 1.42, 0.94, 0.99] | [0.89, 0.75, 0.88] | [0.83, 0.87, 1.08]
  63.9   61.5  20.8 0.30  0.68  RotMoveRel k=12 r=3 random     [0.48, 1.03, 0.75, 2.9, 1.05, 1.03] | [1.0, 0.81, 1.14] | [1.03, 0.9, 0.96]
  63.9   61.6  23.9 0.31  0.33  RotMoveRel k=12 r=82 random    [0.36, 0.75, 0.92, 1.07, 0.77, 0.73] | [0.88, 1.08, 1.03] | [0.89, 0.93, 0.95]
  66.0   65.9  29.8 0.49  0.49  RotMoveRel k=4 r=5 random      [0.6, 0.67, 0.86, 1.01, 0.65, 1.06] | [1.08, 0.7, 1.23] | [0.99, 0.88, 0.87]
  67.6   63.0  12.0 0.21  0.60  RotMoveRel k=40 r=4 spaced3    [0.29, 0.56, 0.65, 1.66, 0.74, 0.82] | [1.3, 0.84, 1.04] | [1.12, 1.1, 0.97]
  68.2   65.3  27.9 0.28  0.91  RotMoveRel k=16 r=82 random    [0.62, 0.8, 0.8, 1.17, 0.94, 0.79] | [1.05, 0.93, 1.04] | [1.01, 0.96, 0.99]
  68.5   64.3  18.7 0.23  0.19  RotMoveRel k=40 r=3 spaced3    [0.0, 0.97, 1.21, 1.09, 1.06, 1.29] | [0.9, 1.57, 0.93] | [0.88, 1.05, 1.01]
  70.9   70.9  30.7 0.51  0.91  RotMoveRel k=4 r=20 random     [0.72, 0.45, 0.61, 1.02, 0.69, 1.03] | [0.88, 0.99, 1.34] | [0.97, 0.95, 0.81]
  71.6   71.5  31.9 0.50  0.66  RotMoveRel k=4 r=13 random     [0.66, 0.65, 1.42, 1.24, 0.68, 0.7] | [0.91, 2.22, 0.94] | [0.85, 0.97, 1.08]
  73.3   68.7  31.2 0.21  0.23  RotMoveRel k=28 r=3 spaced3    [0.0, 1.1, 0.74, 0.71, 0.88, 0.79] | [2.18, 0.87, 1.22] | [0.89, 1.04, 0.99]
  74.4   71.6  30.5 0.29  0.69  LetterDepth r=0 top            [0.47, 0.87, 0.8, 0.92, 0.82, 0.82] | [1.02, 0.98, 0.96] | [1.02, 0.94, 1.0]
  75.3   71.2  28.4 0.23  0.19  RotMoveRel k=24 r=5 spaced3    [0.0, 0.17, 0.76, 0.8, 1.62, 0.76] | [1.16, 1.07, 0.95] | [1.17, 0.83, 0.8]
  75.4   72.0  29.9 0.26  0.56  RotMoveRel k=28 r=82 random    [0.42, 1.03, 0.99, 1.01, 1.11, 0.88] | [0.96, 1.17, 1.03] | [0.98, 1.07, 0.98]
  76.0   72.0  35.3 0.23  0.18  RotMoveRel k=32 r=1 spaced3    [0.0, 1.94, 0.9, 1.09, 1.36, 0.98] | [1.1, 0.8, 0.91] | [0.8, 0.8, 0.86]
  76.0   73.1  35.5 0.28  0.61  LetterDepth r=2 random         [0.61, 0.96, 1.43, 1.06, 0.99, 1.03] | [0.88, 1.07, 0.98] | [0.94, 0.91, 0.87]
  76.6   74.6  33.5 0.33  0.83  LetterDepth r=3 top            [0.61, 0.9, 1.14, 1.02, 1.16, 0.93] | [0.88, 1.19, 0.96] | [1.14, 0.96, 0.84]
  76.7   73.7  33.8 0.28  0.39  RotMoveRel k=16 r=82 spaced3   [0.02, 1.53, 0.69, 0.95, 1.14, 0.92] | [1.13, 1.0, 0.88] | [1.14, 0.93, 0.87]
  77.1   62.1  22.2 0.20  1.08  RotMoveRel k=40 r=9 random     [0.39, 0.82, 0.6, 1.22, 1.16, 0.81] | [1.2, 1.04, 0.94] | [0.97, 0.99, 0.98]
  77.5   73.8  33.0 0.25  0.39  RotMoveRel k=32 r=1 random     [0.39, 1.18, 1.01, 0.98, 0.76, 0.91] | [0.84, 0.86, 1.0] | [0.88, 0.93, 0.91]
  78.1   75.2  32.4 0.28  0.64  RotMoveRel k=20 r=82 random    [0.36, 0.84, 0.79, 0.85, 0.98, 0.73] | [0.96, 1.08, 0.89] | [0.89, 1.02, 1.02]
  78.5   76.8  39.8 0.34  0.29  RotMoveRel k=8 r=20 random     [0.64, 1.23, 0.8, 0.99, 0.7, 0.76] | [0.94, 1.19, 1.88] | [1.07, 1.14, 0.8]
  78.6   74.5  38.1 0.23  0.53  RotMoveRel k=16 r=20 random    [0.47, 0.73, 0.68, 0.85, 1.82, 0.84] | [1.65, 1.01, 0.93] | [0.99, 1.03, 0.86]
  78.7   75.2  28.3 0.25  0.22  LetterDepth r=2 spaced3        [0.61, 0.61, 0.85, 1.03, 0.97, 0.87] | [0.96, 0.99, 0.91] | [1.05, 0.82, 1.04]
  78.9   77.1  36.9 0.34  0.61  RotMoveRel k=8 r=82 random     [0.48, 1.0, 0.81, 0.82, 0.74, 0.79] | [0.87, 0.88, 1.03] | [0.8, 0.86, 0.98]
  79.2   79.0  46.3 0.49  0.89  RotMoveRel k=4 r=7 random      [0.82, 0.9, 1.15, 0.79, 0.88, 0.92] | [0.78, 1.37, 1.08] | [0.81, 0.99, 0.95]
  79.3   74.8  33.1 0.21  0.12  RotMoveRel k=32 r=5 random     [0.47, 0.85, 0.73, 0.89, 0.98, 1.51] | [0.93, 1.17, 1.0] | [1.02, 0.9, 1.07]
  79.5   76.2  16.1 0.26  0.25  RotMoveRel k=16 r=9 spaced3    [0.0, 0.34, 1.27, 1.2, 1.51, 1.0] | [0.71, 0.92, 1.16] | [0.88, 0.88, 0.97]
  80.3   75.0  35.2 0.19  0.12  RotMoveRel k=32 r=7 spaced3    [0.0, 1.25, 0.82, 0.71, 1.36, 0.93] | [1.0, 1.18, 0.95] | [0.78, 0.93, 1.04]
  80.8   79.3  41.6 0.35  0.15  MoveNadir step=4 random        [0.98, 0.95, 0.98, 1.04, 1.0, 1.11] | [1.02, 1.07, 0.99] | [0.96, 0.92, 0.95]
  81.5   77.2  24.9 0.22  0.11  RotMoveRel k=24 r=41 spaced3   [0.07, 1.09, 0.51, 1.12, 0.66, 1.21] | [0.65, 0.81, 0.9] | [0.96, 0.82, 1.02]
  81.6   76.3  34.2 0.19  0.31  RotMoveRel k=24 r=13 spaced3   [0.39, 0.78, 0.94, 0.82, 1.31, 0.98] | [1.05, 0.9, 0.79] | [0.77, 1.03, 0.86]
  81.9   81.6  42.7 0.47  0.12  MoveNadir step=13 top          [0.95, 1.01, 1.02, 1.0, 1.0, 1.09] | [1.07, 0.94, 1.07] | [1.02, 1.0, 0.88]
  82.3   77.1  35.8 0.19  0.12  RotMoveRel k=32 r=13 spaced3   [0.0, 1.95, 0.33, 1.21, 0.91, 0.85] | [1.26, 1.13, 1.09] | [1.4, 0.92, 0.87]
  82.6   77.6  15.1 0.20  0.09  RotMoveRel k=24 r=20 spaced3   [0.0, 0.14, 0.68, 1.24, 0.68, 0.87] | [0.69, 0.88, 0.89] | [1.13, 1.24, 0.96]
  83.2   81.4  35.2 0.34  0.72  RotMoveRel k=8 r=2 random      [0.98, 1.07, 0.7, 3.13, 1.03, 0.96] | [0.91, 0.83, 0.79] | [0.81, 0.93, 0.98]
  83.6   78.8  28.7 0.20  0.56  RotMoveRel k=24 r=7 random     [0.62, 0.82, 0.8, 1.1, 0.92, 0.83] | [1.1, 0.9, 0.88] | [1.47, 0.94, 1.05]
