lang=en space=False: re-scoring 300 configs. Target: resync4 0.55, IoC 1.066, tail d9-24 dev ~16 (floor), d1-8 dev ~8 (floor)
 joint  d1-8 d9-24  rs4   IoC   k   a   s md  r1..r6 | r9,13,17
  41.6   4.7  35.6 0.37 1.027  34  66  18  0  [0.0, 0.31, 0.63, 1.97, 1.22, 0.66] | [1.36, 0.87, 1.1]
  41.6   4.7  35.6 0.37 1.027  35  67  18  0  [0.0, 0.31, 0.63, 1.97, 1.22, 0.66] | [1.36, 0.87, 1.1]
  41.6   4.7  35.6 0.37 1.027  36  68  18  0  [0.0, 0.31, 0.63, 1.97, 1.22, 0.66] | [1.36, 0.87, 1.1]
  42.7   4.6  36.6 0.36 1.040  37  69  18  0  [0.0, 0.31, 0.64, 1.9, 1.26, 0.69] | [1.34, 0.85, 1.12]
  42.7   4.6  36.6 0.36 1.040  38  70  18  0  [0.0, 0.31, 0.64, 1.9, 1.26, 0.69] | [1.34, 0.85, 1.12]
  42.7   4.6  36.6 0.36 1.040  39  71  18  0  [0.0, 0.31, 0.64, 1.9, 1.26, 0.69] | [1.34, 0.85, 1.12]
  42.7   4.6  36.6 0.36 1.040  40  72  18  0  [0.0, 0.31, 0.64, 1.9, 1.26, 0.69] | [1.34, 0.85, 1.12]
  42.9   7.9  33.5 0.35 1.027  30  62  18  0  [0.0, 0.25, 0.64, 2.09, 1.28, 0.58] | [1.43, 1.09, 1.05]
  42.9   7.9  33.5 0.35 1.027  31  63  18  0  [0.0, 0.25, 0.64, 2.09, 1.28, 0.58] | [1.43, 1.09, 1.05]
  42.9   7.9  33.5 0.35 1.027  32  64  18  0  [0.0, 0.25, 0.64, 2.09, 1.28, 0.58] | [1.43, 1.09, 1.05]
  43.1   9.5  32.0 0.35 1.038  28  60  18  0  [0.0, 0.24, 0.64, 2.13, 1.3, 0.54] | [1.4, 1.2, 0.99]
  43.6   5.4  36.7 0.36 1.038  41  67  38  1  [0.0, 0.72, 1.03, 1.5, 0.93, 0.92] | [1.05, 0.78, 0.72]
  43.6   5.4  36.7 0.36 1.038  42  68  38  1  [0.0, 0.72, 1.03, 1.5, 0.93, 0.92] | [1.05, 0.78, 0.72]
  43.6   5.4  36.7 0.36 1.038  43  69  38  1  [0.0, 0.72, 1.03, 1.5, 0.93, 0.92] | [1.05, 0.78, 0.72]
  44.0   6.0  36.7 0.37 1.023  33   0  20  0  [0.0, 0.34, 1.08, 1.43, 1.23, 1.38] | [1.04, 1.07, 0.66]
  44.0   6.0  36.7 0.37 1.023  34   1  20  0  [0.0, 0.34, 1.08, 1.43, 1.23, 1.38] | [1.04, 1.07, 0.66]
  44.0   6.0  36.7 0.37 1.023  35   2  20  0  [0.0, 0.34, 1.08, 1.43, 1.23, 1.38] | [1.04, 1.07, 0.66]
  44.6   5.3  37.6 0.35 1.025  45  71  38  1  [0.0, 0.72, 1.03, 1.61, 0.98, 0.83] | [1.01, 0.79, 0.72]
  44.6   5.3  37.6 0.35 1.025  46  72  38  1  [0.0, 0.72, 1.03, 1.61, 0.98, 0.83] | [1.01, 0.79, 0.72]
  45.1   6.5  36.4 0.32 1.053  57  30  40  1  [0.0, 0.3, 1.45, 2.1, 0.91, 0.88] | [1.1, 1.04, 0.95]
  45.1   6.5  36.4 0.32 1.053  58  31  40  1  [0.0, 0.3, 1.45, 2.1, 0.91, 0.88] | [1.1, 1.04, 0.95]
  45.1   6.5  36.4 0.32 1.053  59  32  40  1  [0.0, 0.3, 1.45, 2.1, 0.91, 0.88] | [1.1, 1.04, 0.95]
  45.2   6.5  36.5 0.32 1.064  60  33  40  1  [0.0, 0.3, 1.45, 2.1, 0.9, 0.88] | [1.1, 1.04, 0.93]
  45.2   6.5  36.5 0.32 1.064  62  35  40  1  [0.0, 0.3, 1.45, 2.1, 0.9, 0.88] | [1.1, 1.04, 0.93]
  45.8   6.8  36.8 0.31 1.099  63  36  40  1  [0.0, 0.3, 1.47, 2.09, 0.89, 0.89] | [1.1, 1.04, 0.93]
resync distribution over all re-scored: [(0.2, 1), (0.3, 188), (0.4, 111)]
