lang=fi space=True: re-scoring 300 configs. Target: resync4 0.55, IoC 1.066, tail d9-24 dev ~16 (floor), d1-8 dev ~8 (floor)
 joint  d1-8 d9-24  rs4   IoC   k   a   s md  r1..r6 | r9,13,17
  45.4   5.7  37.9 0.34 1.000  71  11  18  0  [0.0, 0.81, 1.05, 2.69, 1.28, 1.01] | [1.55, 1.03, 0.68]
  46.0   5.4  39.1 0.35 1.023  74  14  18  0  [0.0, 0.73, 1.04, 2.7, 1.33, 0.98] | [1.56, 1.02, 0.68]
  46.7   8.5  36.5 0.34 1.026  44  63  38  1  [0.0, 0.54, 1.11, 1.28, 1.41, 0.93] | [1.24, 0.8, 0.9]
  46.7   8.5  36.5 0.34 1.026  45  64  38  1  [0.0, 0.54, 1.11, 1.28, 1.41, 0.93] | [1.24, 0.8, 0.9]
  46.7   8.5  36.5 0.34 1.026  46  65  38  1  [0.0, 0.54, 1.11, 1.28, 1.41, 0.93] | [1.24, 0.8, 0.9]
  47.8   9.1  36.3 0.30 1.025  40  13   8  0  [0.0, 0.32, 1.33, 1.44, 0.95, 0.79] | [1.44, 1.05, 0.89]
  49.0   8.7  38.3 0.33 1.038  40  59  38  1  [0.0, 0.55, 1.07, 1.24, 1.41, 0.95] | [1.29, 0.78, 0.89]
  49.0   8.7  38.3 0.33 1.038  41  60  38  1  [0.0, 0.55, 1.07, 1.24, 1.41, 0.95] | [1.29, 0.78, 0.89]
  49.0   8.7  38.3 0.33 1.038  42  61  38  1  [0.0, 0.55, 1.07, 1.24, 1.41, 0.95] | [1.29, 0.78, 0.89]
  49.0   8.7  38.3 0.33 1.038  43  62  38  1  [0.0, 0.55, 1.07, 1.24, 1.41, 0.95] | [1.29, 0.78, 0.89]
  49.6  11.0  36.3 0.31 1.035  44  68   4  0  [0.0, 0.25, 0.36, 1.48, 1.32, 1.11] | [1.05, 0.99, 0.65]
  49.9  11.5  35.9 0.30 1.148  50  74   4  0  [0.0, 0.24, 0.35, 1.48, 1.34, 1.1] | [1.12, 0.98, 0.66]
  49.9  11.5  35.9 0.30 1.148  47  71   4  0  [0.0, 0.24, 0.35, 1.48, 1.34, 1.1] | [1.12, 0.98, 0.66]
  50.2  11.5  35.9 0.29 1.148  51  75   4  0  [0.0, 0.24, 0.35, 1.48, 1.34, 1.1] | [1.12, 0.98, 0.66]
  50.2  11.5  35.9 0.29 1.148  53  77   4  0  [0.0, 0.24, 0.35, 1.48, 1.34, 1.1] | [1.12, 0.98, 0.66]
  51.9   7.6  42.5 0.34 1.025  47   0   4  0  [0.0, 0.65, 0.67, 1.9, 1.64, 1.32] | [0.74, 1.49, 0.9]
  51.9   7.6  42.5 0.34 1.025  48   1   4  0  [0.0, 0.65, 0.67, 1.9, 1.64, 1.32] | [0.74, 1.49, 0.9]
  51.9   7.6  42.5 0.34 1.025  49   2   4  0  [0.0, 0.65, 0.67, 1.9, 1.64, 1.32] | [0.74, 1.49, 0.9]
  52.3  10.0  40.5 0.34 1.055  52  69  34  1  [0.0, 0.21, 1.29, 2.07, 1.62, 1.47] | [1.22, 0.82, 1.04]
  52.3  10.0  40.5 0.34 1.055  53  70  34  1  [0.0, 0.21, 1.29, 2.07, 1.62, 1.47] | [1.22, 0.82, 1.04]
  53.2   8.6  42.8 0.33 1.040  54  71  34  1  [0.0, 0.21, 1.06, 1.86, 1.58, 1.57] | [1.26, 0.82, 1.08]
  53.7   7.1  44.9 0.34 1.000  50  23  15  0  [0.0, 0.28, 1.21, 1.96, 1.16, 1.06] | [1.37, 0.93, 0.6]
  53.9   7.8  44.4 0.34 1.037  32  74  35  1  [0.0, 0.53, 0.82, 1.48, 1.6, 1.29] | [0.65, 0.93, 0.89]
  53.9   7.8  44.4 0.34 1.037  34  76  35  1  [0.0, 0.53, 0.82, 1.48, 1.6, 1.29] | [0.65, 0.93, 0.89]
  54.6   9.6  43.2 0.34 1.076  81  21  18  0  [0.0, 0.24, 0.5, 2.16, 1.16, 0.8] | [1.92, 0.97, 0.9]
resync distribution over all re-scored: [(0.3, 233), (0.4, 67)]
